PlotNumber,SiteUnit
12-0088,IDF xk   /Gg01
12-0090,IDF xk   /Gg01
12-0097,IDF dm 1 /Gg13
12-0098,IDF dm 1 /Gg13
12-0099,IDF dm 1 /Gg18
12-6340,ESSFdkw  /Gg16
14-7601,IDF dm 1 /Gg11
14-7602,IDF dm 1 /Gg12.1
14-7603,IDF dm 1 /Gg02
14-7613,ESSFmh   /Gg11
14-7614,ESSFmh   /Gg11
14-7615,ESSFwm 1 /Gg14
14-7616,ESSFwm 1 /Gg14
14-7618,ESSFdk 1 /Gg17
14-7620,ESSFdk 1 /Gg16
14-7625,ESSFdk 1 /Gg14
14-7626,ESSFdk 1 /Gg17
14-7627,ESSFdk 1 /Gg14
14-7629,ESSFdkw  /Gg14
14-7631,ESSFdk 1 /Gg17
14-7632,ESSFdk 1 /Gg17
14-7633,ESSFdk 1 /Gg17
14-7634,ESSFdkw  /Gg14
14-7635,ESSFdkw  /Gg17
14-7636,ESSFdkp  /Gg14
14-7637,ESSFdkp  /Gg14
14KI013,IDF xx 2 /Gg01
14KI014,IDF xx 2 /Gg15a
14KI018,IDF xx 2 /Gg15a
2081,IDF xm   /Gg04a
2181,IDF dk 4 /Gg21b
2281,IDF xm   /Gg04
2881,BG  xw 2 /101 (Gg04a)
3081,IDF xm   /Gg24
3381,BG  xw 2 /101 (Gg04a)
3581,BG  xw 2 /101 (Gg04c)
581,BG  xw 2 /101 (Gg04a)
681,BG  xw 2 /101 (Gg04b)
770008,IDF xc   /Gg04
770212,BG  xh 3 /Gg27
780345,MS  dm 2 /Gg11
780364,IDF xh 2 /Gg10
780424,IDF xh 1 /Gg02
780460,BG  xw 1 /Gg04d
780613,BG  xw 1 /Gg04d
780615,BG  xw 1 /Gg10
790636,IDF xh 2 /Gg10
790638,IDF xh 2 /Gg12.1
800642,BG  xw 1 /Gg04d
800647,BG  xw 1 /Gg10
800648,BG  xw 1 /Gg01
800649,BG  xw 1 /Gg10
800678,BG  xw 1 /Gg04d
800680,BG  xw 1 /Gg01
800681,BG  xw 1 /Gg04d
800682,BG  xw 1 /Gg04d
8014459,ESSFdkw  /Gg16
8014463,ESSFwmw  /Gg16
8102889,ESSFdkp  /Gg16
8102899,ESSFdkw  /Gg16
810683,BG  xw 1 /Gg04d
810685,BG  xw 1 /Gg10
811016,PP  xh 1 /Gg02
811019,IDF dk 1 /Gg11
811025,PP  xh 1 /Gg02
821078,IDF xh 1 /Gg11
821209,IDF xh 1 /Gg02
821216,IDF xh 1 /Gg13
831308,PP  xh 2 /Gg10
831321,BG  xh 2 /Gg25
831323,BG  xh 2 /Gg03
831325,BG  xh 2 /Gg12.1
831327,IDF dk 1  /Gg10
831328,IDF xh 2 /Gg10
831331,BG  xh 2 /Gg10
831340,BG  xh 2 /Gg25
831342,BG  xh 2 /Gg10
831365,PP  xh 2 /Gg03
831400,PP  xh 1 /Gg11
831403,IDF xh 1 /Gg02
831420,IDF xh 1 /Gg11
831432,IDF xh 1 /Gg01
